symbol,name,exchange,sector,list_date,mktcap
MKSI,"MKS, Inc.",NASDAQ,半导体,,18026393309
IP,International Paper Co.,NYSE,,,18018415318
SNX,TD SYNNEX Corp.,NYSE,,,17928017208
WY,Weyerhaeuser Co.,NYSE,,,17899883244
WSO,"Watsco, Inc.",NYSE,,,17816286673
AMCR,Amcor Plc,NYSE,,,17807241123
ULS,"UL Solutions, Inc.",NYSE,,,17756045701
FITBI,Fifth Third Bancorp,NASDAQ,,,17733314855
AMKR,"Amkor Technology, Inc.",NASDAQ,半导体,,17677614436
PR,Permian Resources Corp.,NASDAQ,,,17622800182
NVR,"NVR, Inc.",NYSE,房屋建筑商,,17608592517
CX,CEMEX SAB de CV,NYSE,,,17562330900
AGI,"Alamos Gold, Inc.",NYSE,,,17516757451
NXT,"Nextpower, Inc.",NASDAQ,,,17297728749
VTRS,"Viatris, Inc.",NASDAQ,,,17268362333
LII,"Lennox International, Inc.",NYSE,,,17239116672
RBC,"RBC Bearings, Inc.",NYSE,,,17193800926
CG,The Carlyle Group Inc.,NASDAQ,私募股权投资,,17167929000
FFIV,"F5, Inc.",NASDAQ,计算机硬件,,17155294865
MGA,"Magna International, Inc.",NYSE,汽车制造,,17116489428
EWBC,"East West Bancorp, Inc.",NASDAQ,银行,,17111416429
IOT,"Samsara, Inc.",NYSE,房地产信托投资基金,,17032408683
YPF,YPF SA,NYSE,,,17018849515
CDW,CDW Corp.,NASDAQ,,,17014204731
MAIR,Madison Air Solutions Corp.,NYSE,,,16921740407
HOLX,"Hologic, Inc.",NASDAQ,医疗保健产品,,16906090100
RTO,Rentokil Initial Plc,NYSE,,,16891629405
INVH,"Invitation Homes, Inc.",NYSE,,,16880399860
TOST,"Toast, Inc.",NYSE,,,16814168660
GMAB,Genmab A/S,NASDAQ,,,16700640525
NLY,"Annaly Capital Management, Inc.",NYSE,房地产信托投资基金,,16672532059
AA,Alcoa Corp.,NYSE,,,16655006336
NWS,News Corp.,NASDAQ,媒体,,16639284470
SSNC,"SS&C Technologies Holdings, Inc.",NASDAQ,软件,,16630153365
YUMC,"Yum China Holdings, Inc.",NYSE,,,16621496250
OVV,"Ovintiv, Inc.",NYSE,,,16562374307
WF,"Woori Financial Group, Inc.",NYSE,银行,,16558029503
TLK,PT Telkom Indonesia (Persero) Tbk,NYSE,电信,,16518623862
SMMT,"Summit Therapeutics, Inc.",NASDAQ,,,16491699426
LULU,"lululemon athletica, Inc.",NASDAQ,零售,,16460089425
SMCI,"Super Micro Computer, Inc.",NASDAQ,计算机,,16367336547
BALL,Ball Corp.,NYSE,,,16349782127
BIP,Brookfield Infrastructure Partners LP,NYSE,电力,,16342352218
KSPI,Kaspi.kz JSC,NASDAQ,,,16321662649
CLH,"Clean Harbors, Inc.",NYSE,环境控制,,16319782766
PTC,"PTC, Inc.",NASDAQ,软件,,16314369052
WES,Western Midstream Partners LP,NYSE,管道,,16313578795
CIB,Grupo Cibest SA,NYSE,银行,,16291305962
CEGVV,Constellation Energy Corp.,NASDAQ,,,16228279602
EMA,"Emera, Inc.",NYSE,,,16169811289
KIM,Kimco Realty Corp.,NYSE,房地产信托投资基金,,16060901828
ZBH,"Zimmer Biomet Holdings, Inc.",NYSE,,,16042188296
TPG,"TPG, Inc.",NASDAQ,,,16041928162
NIO,"NIO, Inc.",NYSE,,,15948570486
WPC,"W.P. Carey, Inc.",NYSE,,,15942263684
JLL,"Jones Lang LaSalle, Inc.",NYSE,,,15838145868
NVMI,Nova Ltd.,NASDAQ,半导体,,15829191646
GRAB,Grab Holdings Ltd. (Singapore),NASDAQ,,,15827859117
IONQ,"IonQ, Inc.",NYSE,,,15802216283
GIB,"CGI, Inc.",NYSE,计算机,,15797590158
SUI,"Sun Communities, Inc.",NYSE,,,15796711197
NDSN,Nordson Corp.,NASDAQ,机械-多元,,15707544494
PAA,Plains All American Pipeline LP,NYSE,管道,,15705135202
HTHT,H World Group Ltd.,NASDAQ,住宿,,15666459954
BSAC,Banco Santander Chile SA,NYSE,银行,,15603338763
LSCC,Lattice Semiconductor Corp.,NASDAQ,半导体,,15589428172
THC,Tenet Healthcare Corp.,NYSE,健康护理服务,,15550485675
TRMB,"Trimble, Inc.",NASDAQ,,,15468714209
XPEV,"XPeng, Inc.",NYSE,,,15440379548
TXT,"Textron, Inc.",NYSE,,,15352041496
BEN,"Franklin Resources, Inc.",NYSE,,,15341690672
H,Hyatt Hotels Corp.,NYSE,住宿,,15282682872
RE,Everest Re Group Ltd.,NYSE,保险,,15250899834
IEX,IDEX Corp.,NYSE,,,15238991296
MAA,"Mid-America Apartment Communities, Inc.",NYSE,,,15171730894
CSGP,"CoStar Group, Inc.",NASDAQ,,,15096186282
DECK,Deckers Outdoor Corp.,NASDAQ,服饰,,15075089142
MAS,Masco Corp.,NYSE,,,14996937308
MLI,"Mueller Industries, Inc.",NYSE,,,14993361529
PNFP,"Pinnacle Financial Partners, Inc.",NASDAQ,银行,,14955192059
BNT,Brookfield Wealth Solutions Ltd.,NYSE,,,14935806866
WCC,"WESCO International, Inc.",NYSE,销售/批发,,14930322094
WMG,Warner Music Group Corp.,NASDAQ,,,14907760513
J,"Jacobs Solutions, Inc.",NYSE,,,14868753687
IREN,IREN Ltd.,NASDAQ,,,14757400253
REG,Regency Centers Corp.,NYSE,,,14701593644
SYMC,Symantec Corp.,NASDAQ,软件,,14678251051
CHKP,Check Point Software Technologies Ltd.,NASDAQ,软件,,14525882932
GPC,Genuine Parts Co.,NYSE,销售/批发,,14507660811
STRL,"Sterling Infrastructure, Inc.",NASDAQ,,,14491737785
TME,Tencent Music Entertainment Group,NYSE,,,14472928986
PKI,"PerkinElmer, Inc. (United States)",NYSE,,,14455820687
CSL,"Carlisle Cos., Inc.",NYSE,,,14451293147
TYL,"Tyler Technologies, Inc.",NYSE,软件,,14449965662
NWSA,News Corp.,NASDAQ,媒体,,14444455655
NLOK,"NortonLifeLock, Inc.",NASDAQ,,,14416245904
CNHI,CNH Industrial NV,NYSE,,,14398166645
GFL,"GFL Environmental, Inc.",NYSE,,,14397775559
HST,"Host Hotels & Resorts, Inc.",NYSE,房地产信托投资基金,,14392759355
RGC,Regencell Bioscience Holdings Ltd.,NYSE,,,14315454264
TTMI,"TTM Technologies, Inc.",NASDAQ,电子,,14287782894
FNF,"Fidelity National Financial, Inc.",NYSE,,,14286238138
LECO,"Lincoln Electric Holdings, Inc.",NASDAQ,,,14254728453
HII,"Huntington Ingalls Industries, Inc.",NYSE,造船,,14231303515
LOGI,Logitech International SA,NASDAQ,计算机硬件,,14178082939
ARXS,"Arxis, Inc.",NASDAQ,,,14151576460
DTM,"DT Midstream, Inc.",NYSE,,,14140176958
WLK,Westlake Corp.,NYSE,化学制品,,14135294366
OHI,"Omega Healthcare Investors, Inc.",NYSE,房地产信托投资基金,,14127622910
SKM,"SK Telecom Co., Ltd.",NYSE,,,14096444992
AKAM,"Akamai Technologies, Inc.",NASDAQ,软件,,14049495516
ONTO,"Onto Innovation, Inc.",NYSE,,,14042111671
AEIS,"Advanced Energy Industries, Inc.",NASDAQ,,,14034470023
RRX,Regal Rexnord Corp.,NYSE,,,13947464315
QXO,"QXO, Inc.",NASDAQ,,,13903291300
SRAD,Sportradar Group AG,NASDAQ,,,13894503779
EG,Everest Group Ltd.,NYSE,,,13894229832
TIGO,Millicom International Cellular SA,NASDAQ,,,13871520309
ASND,Ascendis Pharma A/S,NASDAQ,,,13834167984
PFGC,Performance Food Group Co.,NYSE,,,13805072077
OWL,"Blue Owl Capital, Inc.",NYSE,,,13797595750
RGA,"Reinsurance Group of America, Inc.",NYSE,保险,,13747768097
MKC,"McCormick & Co., Inc.",NYSE,,,13740457252
PAYP,PayPay Corp.,NASDAQ,,,13720227249
MKC.V,"McCormick & Co., Inc.",NYSE,,,13700249022
LAMR,Lamar Advertising Co.,NASDAQ,媒体内容,,13678376882
SUN,Sunoco LP,NYSE,,,13673567009
APA,APA Corp.,NYSE,油气,,13662460145
ALLY,"Ally Financial, Inc.",NYSE,,,13655064448
SITM,SiTime Corp.,NASDAQ,,,13625250258
TOL,"Toll Brothers, Inc.",NYSE,房屋建筑商,,13607455434
GLPI,"Gaming & Leisure Properties, Inc.",NASDAQ,,,13603144245
ARCC,Ares Capital Corp.,NASDAQ,投资公司,,13592172524
TRU,TransUnion,NYSE,,,13527058362
HAS,"Hasbro, Inc.",NASDAQ,,,13520968443
BBIO,"BridgeBio Pharma, Inc.",NASDAQ,,,13504488164
EVR,"Evercore, Inc.",NYSE,,,13487257308
RNR,RenaissanceRe Holdings Ltd.,NYSE,保险,,13452731398
PNR,Pentair plc,NYSE,,,13390407775
COKE,"Coca-Cola Consolidated, Inc.",NASDAQ,饮料,,13377426246
GGG,"Graco, Inc.",NYSE,,,13334057274
SNN,Smith & Nephew plc,NYSE,医疗保健产品,,13260237255
RPM,"RPM International, Inc.",NYSE,化学制品,,13236784677
FMS,Fresenius Medical Care AG,NYSE,健康护理服务,,13212407746
CNA,CNA Financial Corp.,NYSE,保险,,13150423559
BF.A,Brown-Forman Corp.,NYSE,饮料,,13035599825
NBIX,"Neurocrine Biosciences, Inc.",NASDAQ,制药,,12895113571
PAC,Grupo Aeroportuario del Pac铆fico SAB de CV,NYSE,工程建设,,12869669637
FIVE,"Five Below, Inc.",NASDAQ,,,12851221100
AVY,Avery Dennison Corp.,NYSE,家庭产品/用品,,12810531748
PEN,"Penumbra, Inc.",NYSE,,,12795197278
GNRC,"Generac Holdings, Inc.",NYSE,,,12756124649
AGNC,AGNC Investment Corp.,NASDAQ,房地产信托投资基金,,12717623912
BF.B,Brown-Forman Corp.,NYSE,饮料,,12715264364
ALGN,"Align Technology, Inc.",NASDAQ,,,12696310070
NYT,The New York Times Co.,NYSE,媒体,,12696001855
AEG,Aegon Ltd.,NYSE,保险,,12684864997
PODD,Insulet Corp.,NASDAQ,医疗保健产品,,12670410329
JHX,James Hardie Industries Plc,NYSE,,,12636122078
APTV,Aptiv Plc,NYSE,,,12607309226
UNM,Unum Group,NYSE,保险,,12565784720
JAZZ,Jazz Pharmaceuticals Plc,NASDAQ,制药,,12555849399
MOD,Modine Manufacturing Co.,NYSE,汽车制造,,12502470325
PNW,Pinnacle West Capital Corp.,NYSE,,,12481375158
VNTV,"Vantiv, Inc.",NYSE,商业服务,,12449117883
WBDWV,WARNER BROS DISCOVERY INC,NASDAQ,,,12436173663
DISCB,"Discovery, Inc.",NASDAQ,媒体,,12426010390
DISCA,"Discovery, Inc.",NASDAQ,媒体,,12410440302
ENLT,Enlight Renewable Energy Ltd.,NASDAQ,,,12379843033
BBY,"Best Buy Co., Inc.",NYSE,,,12358553100
COO,"The Cooper Cos., Inc.",NYSE,,,12311718216
CRBG,"Corebridge Financial, Inc.",NYSE,,,12304233140
GMED,"Globus Medical, Inc.",NYSE,,,12274214469
BMNR,"Bitmine Immersion Technologies, Inc.",NYSE,,,12234509360
SWK,"Stanley Black & Decker, Inc.",NYSE,,,12174456035
TIMB,TIM SA (Brazil),NYSE,,,12160797993
ELS,"Equity LifeStyle Properties, Inc.",NYSE,,,12138146452
PL,Planet Labs PBC,NYSE,保险,,12124562117
DY,"Dycom Industries, Inc.",NYSE,工程建设,,12107701207
SF,Stifel Financial Corp.,NYSE,多元化金融服务,,12072618371
CTL,"CenturyLink, Inc.",NYSE,电信,,12072523342
RMBS,"Rambus, Inc.",NASDAQ,半导体,,12034892737
OKLO,"Oklo, Inc.",NYSE,,,12010903588
GL,"Globe Life, Inc.",NYSE,,,11983615550
SCI,Service Corp. International,NYSE,,,11977184360
IESC,"IES Holdings, Inc.",NASDAQ,,,11976726798
BJ,"BJ's Wholesale Club Holdings, Inc.",NYSE,,,11954884872
ACGLO,Arch Capital Group Ltd.,NASDAQ,,,11953324398
HL,Hecla Mining Co.,NYSE,采矿,,11949769559
AR,Antero Resources Corp.,NYSE,,,11945316926
TPX,"Tempur Sealy International, Inc.",NYSE,,,11943843774
ARMK,Aramark,NYSE,,,11943267888
HUBS,"HubSpot, Inc.",NYSE,,,11920943288
TFII,"TFI International, Inc.",NYSE,,,11874649173
ALLE,Allegion Plc,NYSE,,,11860853272
MDGL,"Madrigal Pharmaceuticals, Inc.",NASDAQ,,,11854228981
IONS,"Ionis Pharmaceuticals, Inc.",NASDAQ,,,11851033848
SAIA,"Saia, Inc.",NASDAQ,运输,,11833267237
ERJ,Embraer SA,NYSE,航空航天/国防,,11825086599
UDR,"UDR, Inc.",NYSE,,,11790846105
QVCA,Liberty Interactive Corp.,NASDAQ,,,11785091838
EQH,"Equitable Holdings, Inc.",NYSE,,,11779481764
SANM,Sanmina Corp.,NASDAQ,计算机硬件,,11765169104
GWRE,"Guidewire Software, Inc.",NYSE,软件,,11746287895
FHN,First Horizon Corp. (Tennessee),NYSE,银行,,11731020612
ONON,On Holding AG,NYSE,,,11730551690
HRL,Hormel Foods Corp.,NYSE,,,11723804900
AIZ,"Assurant, Inc.",NYSE,保险,,11718365241
RDY,Dr. Reddy's Laboratories Ltd.,NYSE,制药,,11713803994
SOLV,Solventum Corp.,NYSE,,,11709190379
PSKY,Paramount Skydance Corp.,NASDAQ,,,11695516976
MEDP,"Medpace Holdings, Inc.",NASDAQ,,,11691479746
CLX,The Clorox Co.,NYSE,,,11678876694
WBS,Webster Financial Corp.,NYSE,银行,,11667618552
WMS,"Advanced Drainage Systems, Inc.",NYSE,休闲,,11629811377
DKNG,"DraftKings, Inc.",NASDAQ,,,11617399472
U,"Unity Software, Inc.",NYSE,,,11580199343
KTOS,"Kratos Defense & Security Solutions, Inc.",NASDAQ,,,11558420531
AMH,American Homes 4 Rent,NYSE,,,11459566660
DPZ,"Domino's Pizza, Inc.",NYSE,零售,,11447869635
PINS,"Pinterest, Inc.",NYSE,,,11444053481
JEC,"Jacobs Engineering Group, Inc.",NYSE,,,11438126892
EXEL,"Exelixis, Inc.",NASDAQ,生物技术和制药,,11412587380
GDDY,"GoDaddy, Inc.",NYSE,,,11376439140
DINO,HF Sinclair Corp.,NYSE,,,11310356242
VICR,Vicor Corp.,NASDAQ,计算机硬件,,11283847043
GME,GameStop Corp.,NYSE,零售,,11249732933
CCK,"Crown Holdings, Inc.",NYSE,,,11244399888
CACI,"CACI International, Inc.",NYSE,,,11242264980
FPS,"Forgent Power Solutions, Inc.",NYSE,,,11239514431
EMBJ,Embraer SA,NYSE,,,11237140190
RBRK,"Rubrik, Inc.",NYSE,,,11235159142
WTRG,"Essential Utilities, Inc.",NYSE,,,11230158337
AIT,"Applied Industrial Technologies, Inc.",NYSE,机械-多元,,11228407829
SUZ,Suzano SA,NYSE,,,11216700236
WTR,"Aqua America, Inc.",NYSE,水业,,11210768570
BWA,"BorgWarner, Inc.",NYSE,汽车部件与设备,,11191199859
DOC,"Healthpeak Properties, Inc.",NYSE,,,11169298727
HLI,"Houlihan Lokey, Inc.",NYSE,,,11133197772
DIDI,"Didi Global, Inc.",NYSE,,,11115746551
AAXN,"Axon Enterprise, Inc.",NASDAQ,,,11091998770
ELAN,"Elanco Animal Health, Inc.",NYSE,,,11068745723
WYNN,Wynn Resorts Ltd.,NASDAQ,住宿,,11049408656
ABX,"Abacus Global Management, Inc.",NYSE,,,11036190121
JKHY,"Jack Henry & Associates, Inc.",NASDAQ,软件,,11030782334
SEIC,SEI Investments Co.,NASDAQ,,,11015318817
ENSG,"The Ensign Group, Inc.",NASDAQ,健康护理服务,,11004608338
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,,,10988942804
MP,MP Materials Corp.,NYSE,,,10961192410
EQX,Equinox Gold Corp.,NYSE,,,10921714508
AFG,"American Financial Group, Inc.",NYSE,保险,,10916318063
EGP,"EastGroup Properties, Inc.",NYSE,,,10870920135
FLS,Flowserve Corp.,NYSE,机械-多元,,10867722039
SPXC,"SPX Technologies, Inc.",NYSE,,,10854991658
CDAY,"Ceridian HCM Holding, Inc.",NYSE,,,10853814690
WYN,Wyndham Worldwide Corp.,NYSE,住宿,,10821465869
ALSN,"Allison Transmission Holdings, Inc.",NYSE,汽车部件与设备,,10808487414
DT,"Dynatrace, Inc.",NYSE,,,10737040104
BPYPP,Brookfield Property Partners LP,NASDAQ,,,10725319742
GIL,"Gildan Activewear, Inc.",NYSE,服饰,,10718998119
CHK,Chesapeake Energy Corp.,NYSE,油气,,10693673762
DRS,"Leonardo DRS, Inc.",NYSE,,,10686497648
CHWY,"Chewy, Inc.",NYSE,,,10662763265
KNX,"Knight-Swift Transportation Holdings, Inc.",NYSE,,,10645863433
PAG,"Penske Automotive Group, Inc.",NYSE,零售,,10620148336
ERIE,Erie Indemnity Co.,NASDAQ,保险,,10615756149
ZBRA,Zebra Technologies Corp.,NASDAQ,机械-多元,,10603018444
CAVA,"Cava Group, Inc.",NYSE,,,10595613583
SFD,"Smithfield Foods, Inc.",NASDAQ,,,10572734226
