symbol,name,exchange,sector,list_date,mktcap
000539.SZ,粤电力Ａ,SZSE,火力发电,19931126,
000541.SZ,佛山照明,SZSE,家用电器,19931123,
000543.SZ,皖能电力,SZSE,火力发电,19931220,
000544.SZ,中原环保,SZSE,环境保护,19931208,
000545.SZ,金浦钛业,SZSE,化工原料,19931215,
000546.SZ,金圆股份,SZSE,环境保护,19931215,
000547.SZ,航天发展,SZSE,通信设备,19931130,
000548.SZ,湖南投资,SZSE,路桥,19931220,
000550.SZ,江铃汽车,SZSE,汽车整车,19931201,
000551.SZ,创元科技,SZSE,专用机械,19940106,
000552.SZ,甘肃能化,SZSE,煤炭开采,19940106,
000553.SZ,安道麦A,SZSE,农药化肥,19931203,
000554.SZ,泰山石油,SZSE,石油贸易,19931215,
000555.SZ,神州信息,SZSE,软件服务,19940408,
000557.SZ,西部创业,SZSE,铁路,19940617,
000558.SZ,天府文旅,SZSE,旅游景点,19940509,
000559.SZ,万向钱潮,SZSE,汽车配件,19940110,
000560.SZ,我爱我家,SZSE,房产服务,19940202,
000561.SZ,烽火电子,SZSE,通信设备,19940509,
000563.SZ,陕国投Ａ,SZSE,多元金融,19940110,
000564.SZ,供销大集,SZSE,百货,19940110,
000565.SZ,渝三峡Ａ,SZSE,染料涂料,19940408,
000566.SZ,海南海药,SZSE,化学制药,19940525,
000567.SZ,海德股份,SZSE,多元金融,19940525,
000568.SZ,泸州老窖,SZSE,白酒,19940509,
000570.SZ,苏常柴Ａ,SZSE,农用机械,19940701,
000571.SZ,新大洲A,SZSE,煤炭开采,19940525,
000572.SZ,海马汽车,SZSE,汽车整车,19940808,
000573.SZ,粤宏远Ａ,SZSE,区域地产,19940815,
000576.SZ,甘化科工,SZSE,电气设备,19940907,
000581.SZ,威孚高科,SZSE,汽车配件,19980924,
000582.SZ,北部湾港,SZSE,港口,19951102,
000586.SZ,汇源通信,SZSE,通信设备,19951220,
000589.SZ,贵州轮胎,SZSE,汽车配件,19960308,
000590.SZ,古汉医药,SZSE,中成药,19960119,
000591.SZ,太阳能,SZSE,新型电力,19960208,
000592.SZ,平潭发展,SZSE,林业,19960327,
000593.SZ,德龙汇能,SZSE,供气供热,19960312,
000596.SZ,古井贡酒,SZSE,白酒,19960927,
000597.SZ,东北制药,SZSE,化学制药,19960523,
000598.SZ,兴蓉环境,SZSE,水务,19960529,
000599.SZ,青岛双星,SZSE,汽车配件,19960430,
000600.SZ,建投能源,SZSE,火力发电,19960606,
000601.SZ,韶能股份,SZSE,水力发电,19960830,
000603.SZ,盛达资源,SZSE,铅锌,19960823,
000605.SZ,渤海股份,SZSE,水务,19960913,
000607.SZ,华媒控股,SZSE,广告包装,19960830,
000610.SZ,西安旅游,SZSE,旅游服务,19960926,
000612.SZ,焦作万方,SZSE,铝,19960926,
000617.SZ,中油资本,SZSE,多元金融,19961022,
000619.SZ,海螺新材,SZSE,其他建材,19961023,
000620.SZ,盈新发展,SZSE,全国地产,19961029,
000623.SZ,吉林敖东,SZSE,中成药,19961028,
000625.SZ,长安汽车,SZSE,汽车整车,19970610,
000626.SZ,远大控股,SZSE,商贸代理,19961128,
000628.SZ,高新发展,SZSE,建筑工程,19961118,
000629.SZ,钒钛股份,SZSE,小金属,19961115,
000630.SZ,铜陵有色,SZSE,铜,19961120,
000631.SZ,顺发恒能,SZSE,综合类,19961122,
000632.SZ,三木集团,SZSE,综合类,19961121,
000633.SZ,合金投资,SZSE,小金属,19961112,
000635.SZ,英力特,SZSE,化工原料,19961120,
000636.SZ,风华高科,SZSE,元器件,19961129,
000637.SZ,茂化实华,SZSE,石油加工,19961114,
000639.SZ,西王食品,SZSE,食品,19961126,
000650.SZ,仁和药业,SZSE,中成药,19961210,
000651.SZ,格力电器,SZSE,家用电器,19961118,
000652.SZ,泰达股份,SZSE,批发业,19961128,
000655.SZ,金岭矿业,SZSE,普钢,19961128,
